Master Feature ID,Domain,Canonical KitLuy Capability,Primary Owner,Authority,Master Disposition,Earliest Phase,Phase Coverage,Source Platforms,Source Row Count,WooCommerce IDs,Toast IDs,Shopify IDs,Lightspeed IDs,Loyverse IDs,Source Classifications,Source Capability Names,Review Note,Owner Decision ID,Owner Decision Choice,Owner Decision Effective Date,Owner Decision,Owner Decision Rules
KLMF-AI-001,AI,"Permission-scoped AI Gateway, MCP and RAG",KitLuy AI Gateway / MCP / RAG,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,"WooCommerce, Toast",2,KID-WC-001,KST-111,,,,ALREADY OWNER-LOCKED | KEEP KITLUY,"Commerce, webhook, media, reports, search, RAG and reconciliation jobs | AI, MCP and RAG governance",,,,,,
KLMF-API-001,API,"API versioning, idempotency, rate limits and errors",Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,WooCommerce,1,KLC-WC-003,,,,,CORE CANDIDATE,"Versioning, rate limits, idempotency and error contracts",,,,,,
KLMF-API-002,API,Bulk Management API operations,Management API,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-102,,,DEVELOPER PLATFORM,Bulk operations,,,,,,
KLMF-API-003,API,Four governed API surfaces,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1 foundation; through Phase 3,"WooCommerce, Toast, Shopify, Lightspeed",4,KMA-WC-005,KST-101,KLS-SH-005,KLS-LS-004,,ALREADY OWNER-LOCKED | ALREADY KITLUY-LOCKED,Four distinct API surfaces | Four separate API surfaces | Four governed API surfaces,,,,,,
KLMF-B2B-001,B2B,B2B company and company-location identity,Shared Suite Governance & KitLuy Core,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-081,,,B2B EXTENSION,Company and company-location identity,,,,,,
KLMF-CAT-001,CAT,Back Office,kitluy-partner-portal,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-010,UX IMPROVEMENT,Back Office,,,,,,
KLMF-CAT-002,CAT,Barcode and scale input,Store Hub / kitluy-hub-agent,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-029,UX IMPROVEMENT,Barcode and scale input,,,,,,
KLMF-CAT-003,CAT,Barcode-first checkout and large-catalog performance,kitluy-pos-desktop-app,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 4,Phase 4,Lightspeed,1,,,,KLS-LS-032,,ALREADY LATER-PHASE TARGET,Barcode-first checkout and large-catalog performance,,,,,,
KLMF-CAT-004,CAT,Bulk product editor,kitluy-partner-portal,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-027,,,UX IMPROVEMENT,Bulk product editor,,,,,,
KLMF-CAT-005,CAT,"Bundles, kits and composite items",Shared Suite Governance & KitLuy Core,APPROVED TARGET,"PHASED: APPROVED FOUNDATION, DEFERRED DEPTH",Phase 2,Phase 2 foundation; through Phase 4,"WooCommerce, Lightspeed, Loyverse",3,KSF-WC-020,,,KLS-LS-019,KL-LV-057,ADOPT | LATER VERTICAL REUSE | DEFER,Grouped products | Bundles and kits | Composite items / recipes / production,,,,,,
