permission,permitted_action,resource_type,available_scopes,environment_restrictions,reauthentication,approval_requirement,reason_requirement,primary_audit_event
identity.admin_profiles.read,Read HET Admin eligibility and security state,admin_user_profile,"platform, region",dev/staging/pilot/prod/dr,No,A0_READ,No,identity.admin_profile_read
identity.admin_profiles.manage,"Create, disable, restore, or update an HET Admin profile",admin_user_profile,platform,staging/pilot/prod,Yes in pilot/prod,A3_FOUR_EYES,Required,identity.admin_profile_changed
identity.sessions.revoke,Revoke human sessions and refresh tokens,user_session,"platform, subject",all,Yes in pilot/prod,A2_REAUTH_MUTATION; A3 for bulk,Required,identity.session_revoked
identity.mfa.policy_manage,Change permitted or required MFA policy,security_policy,platform,staging/pilot/prod,Yes,A4_OWNER_SECURITY,Required + ticket,identity.mfa_policy_changed
identity.break_glass.activate,Activate incident-bound emergency human access,break_glass_session,"platform, affected scope",pilot/prod/dr,Yes + MFA,A4_OWNER_SECURITY,Required + incident,identity.break_glass_activated
rbac.read,"Read teams, roles, grants, scopes, policies, and effective access",authorization_config,"platform, region, assigned resources",all,No,A0_READ,No,rbac.configuration_read
rbac.team_manage,"Create, version, disable, or rename an HET team",team,platform,staging/pilot/prod,Yes in prod,A2_REAUTH_MUTATION,Required,rbac.team_changed
rbac.role_manage,Create or version role templates and custom roles,role_template,platform,staging/pilot/prod,Yes,A3_FOUR_EYES for system/broad roles,Required,rbac.role_template_versioned
rbac.permission_registry_manage,"Register, deprecate, or replace permission keys",permission_definition,platform,staging/pilot/prod,Yes,A4_OWNER_SECURITY,Required + impact assessment,rbac.permission_registered
rbac.assignment_manage,"Grant, change, revoke, or extend scoped assignments",role_assignment,"platform, region, tenant, digital_store, store_location, service",all,Yes in pilot/prod,A2; A3 for high-risk/broad,Required,rbac.assignment_changed
rbac.owner_access_manage,"Grant, revoke, or alter platform-owner authority",role_assignment,platform,pilot/prod/dr,Yes + MFA,A4_OWNER_SECURITY,Required + ticket,rbac.owner_access_changed
rbac.approval_policy_manage,"Version action risk, approver, quorum, reason, and re-auth policy",approval_policy,platform,staging/pilot/prod,Yes,A4_OWNER_SECURITY,Required + impact assessment,rbac.approval_policy_versioned
rbac.separation_of_duties_manage,Version conflicting permission and role rules,sod_policy,platform,staging/pilot/prod,Yes,A3_FOUR_EYES,Required,rbac.sod_policy_versioned
rbac.access_review,"Create, decide, and complete access review campaigns",access_review,"platform, region, team, environment",all,Yes for final decisions in prod,A2_REAUTH_MUTATION,Required,rbac.access_review_completed
rbac.effective_access.explain,Resolve why a subject is allowed or denied,authorization_decision,"platform, assigned resources",all,No,A0_READ,No,rbac.effective_access_explained
partners.read,"Read Partner/Tenant identity, lifecycle, and verification summary",tenant,"platform, region, tenant",all,No,A0_READ,No,partner.read
partners.verify,Approve or reject Partner verification evidence,partner_verification_case,"region, tenant",staging/pilot/prod,Yes in prod,A2_REAUTH_MUTATION,Required,partner.verification_decided
partners.suspend,Restrict or suspend a Partner/Tenant,tenant,"region, tenant",pilot/prod,Yes,A3_FOUR_EYES,Required + evidence,partner.suspended
partners.close,Close a Partner/Tenant after preservation and legal checks,tenant,tenant,prod,Yes + MFA,A4_OWNER_SECURITY,Required + case,partner.closed
digital_stores.read,"Read Digital Store configuration, status, and readiness",digital_store,"tenant, digital_store, region, platform",all,No,A0_READ,No,digital_store.read
digital_stores.create,Create a Digital Store under an authorized Tenant,digital_store,tenant,all,No in non-prod; Yes in prod,A1_STANDARD_MUTATION,Required in prod,digital_store.created
digital_stores.vertical_lock,Lock the Digital Store primary vertical,digital_store,digital_store,all,Yes after readiness or first transaction,A2_REAUTH_MUTATION,Required,digital_store.vertical_locked
digital_stores.activate,Activate a Digital Store for approved operation,digital_store,digital_store,pilot/prod,Yes,A3_FOUR_EYES,Required + readiness evidence,digital_store.activated
digital_stores.suspend,Pause a Digital Store without deleting truth,digital_store,digital_store,pilot/prod,Yes,A3_FOUR_EYES,Required,digital_store.suspended
locations.read,"Read Store Location identity, readiness, devices, and status",store_location,"digital_store, store_location, region, platform",all,No,A0_READ,No,location.read
locations.create,Create a physical Store Location under a Digital Store,store_location,digital_store,all,No in non-prod; Yes in prod,A1_STANDARD_MUTATION,Required in prod,location.created
locations.go_live_request,Submit a Store Location go-live evidence package,go_live_request,store_location,pilot/prod,Yes,A2_REAUTH_MUTATION,Required,location.go_live_requested
locations.go_live_approve,Independently approve physical Store go-live,store_location,"store_location, region",pilot/prod,Yes,A3_FOUR_EYES,Required + evidence,location.go_live_approved
locations.maintenance_toggle,Enter or leave controlled maintenance mode,store_location,store_location,pilot/prod,Yes,A2_REAUTH_MUTATION,Required,location.maintenance_changed
locations.decommission,Decommission a Store Location after data/device reconciliation,store_location,store_location,prod,Yes + MFA,A4_OWNER_SECURITY,Required + case,location.decommissioned
onboarding.readiness.evaluate,Run versioned Digital Store or Location readiness checks,readiness_result,"tenant, digital_store, store_location",all,No,A1_STANDARD_MUTATION,No,readiness.evaluated
onboarding.migration.validate,Run dry-run and validation for data migration,migration_run,"tenant, digital_store",staging/pilot/prod,Yes in prod,A2_REAUTH_MUTATION,Required in prod,migration.validation_completed
onboarding.migration.execute,Execute approved production migration or cutover,migration_run,"tenant, digital_store",pilot/prod,Yes,A3_FOUR_EYES,Required + approved plan,migration.executed
onboarding.migration.rollback,Execute approved migration rollback/compensation,migration_run,"tenant, digital_store",pilot/prod,Yes + MFA,A4_OWNER_SECURITY,Required + incident/change,migration.rolled_back
devices.read,"Read device asset, assignment, certificate, health, and version",device,"tenant, digital_store, store_location, device_group, device, region, platform",all,No,A0_READ,No,device.read
devices.register,Register HET-managed hardware and manufacturing identity,device,"platform, region",staging/pilot/prod; manufacturing-station context required,Yes,A2_REAUTH_MUTATION,Required,device.registered
devices.assign,"Assign a registered device to Tenant, Digital Store, Location, and role",device_assignment,"tenant, digital_store, store_location, device",all,Yes in pilot/prod,A2_REAUTH_MUTATION,Required,device.assigned
devices.certificate.issue,Issue an operational device certificate,device_certificate,"device, store_location",pilot/prod,Yes,A3_FOUR_EYES for replacement/CA exceptions,Required,device.certificate_issued
devices.certificate.rotate,Rotate an operational device certificate,device_certificate,device,all,Yes in pilot/prod,A2_REAUTH_MUTATION,Required,device.certificate_rotated
devices.revoke,"Revoke device certificate, sessions, and queued privileged actions",device,"device, store_location",pilot/prod,Yes,A3_FOUR_EYES for active Hub,Required + incident/reason,device.revoked
devices.identity_replace,Replace device identity after repair/RMA,device_identity,"device, store_location",pilot/prod,Yes + MFA,A3_FOUR_EYES,Required + RMA case,device.identity_replaced
devices.remote_action.standard,Queue non-destructive diagnostics/restart/sync action,device_action,"device, device_group, store_location",pilot/prod,Yes for prod,A2_REAUTH_MUTATION,Required,device.remote_action_queued
devices.remote_action.high_risk,Queue wipe/reset/reprovision/secure erase action,device_action,device,pilot/prod,Yes + MFA,A3_FOUR_EYES,Required + evidence,device.high_risk_action_queued
fleet.diagnostics.read,"Read device health, logs metadata, and failure summaries",device_diagnostics,"device, store_location, tenant",all,No,A0_READ,No,fleet.diagnostics_read
fleet.logs.request,Request scoped diagnostic bundle from Hub/device,diagnostic_bundle,"device, store_location",pilot/prod,Yes,A2_REAUTH_MUTATION,Required + support case,fleet.diagnostic_bundle_requested
fleet.sync.trigger,Request a safe sync/reconciliation cycle,sync_command,"store_location, device",all,Yes in prod,A2_REAUTH_MUTATION,Required in prod,fleet.sync_triggered
releases.read,"Read artifacts, channels, compatibility, rollout, and installations",release,"platform, region, cohort, device_group",all,No,A0_READ,No,release.read
releases.artifact_register,"Register checksum, signature, compatibility, and rollback package",release_artifact,platform,staging/pilot/prod registry,Yes,A2_REAUTH_MUTATION,Required,release.artifact_registered
releases.rollout_create,Create or edit an Internal/Pilot/Stable rollout plan,rollout,"region, cohort, device_group",all,Yes in pilot/prod,A2_REAUTH_MUTATION,Required,release.rollout_created
releases.promote_internal,Promote signed artifact to Internal channel,release_channel,platform,development/staging/internal,Yes,A2_REAUTH_MUTATION,Required,release.promoted_internal
releases.promote_pilot,Promote signed artifact to Pilot channel/cohort,release_channel,"region, cohort",pilot,Yes,A3_FOUR_EYES,Required + test evidence,release.promoted_pilot
releases.promote_stable,Promote signed artifact to Stable,release_channel,"platform, region",prod,Yes + MFA,A3_FOUR_EYES,Required + pilot evidence,release.promoted_stable
releases.pause,Pause an active rollout,rollout,"region, cohort",pilot/prod,Yes,A2; A3 for broad Stable,Required,release.rollout_paused
releases.rollback,Rollback active rollout or affected cohort,rollout,"region, cohort, device_group",pilot/prod,Yes,A3_FOUR_EYES; A4 if platform-wide,Required + incident/evidence,release.rolled_back
configuration.read,"Read desired, published, acknowledged, and active configuration",configuration_version,"tenant, digital_store, store_location, channel",all,No,A0_READ,No,configuration.read
configuration.publish,Publish immutable configuration version to approved targets,configuration_publication,"digital_store, store_location, channel",all,Yes in pilot/prod,A2; A3 for broad production,Required,configuration.published
configuration.rollback,Publish a prior compatible configuration version,configuration_publication,"digital_store, store_location, channel",pilot/prod,Yes,A3_FOUR_EYES,Required,configuration.rolled_back
platform.health.read,Read cloud/service/job/provider health with freshness,platform_component,"platform, region, service",all,No,A0_READ,No,platform.health_read
platform.jobs.retry,Retry an eligible idempotent job,durable_job,"service, tenant, store_location",all,Yes in prod,A2_REAUTH_MUTATION,Required,job.retry_requested
platform.jobs.dead_letter_manage,"Requeue, cancel, or quarantine dead-letter work",durable_job,"service, tenant, store_location",pilot/prod,Yes,A3_FOUR_EYES for finance/device/release jobs,Required,job.dead_letter_changed
platform.incident.declare,Declare or change incident severity and command state,incident,"platform, region, service, tenant",all,Yes in prod,A2_REAUTH_MUTATION,Required,incident.declared
platform.safety_switch.toggle,Toggle narrowly scoped safety control,safety_switch,"platform, service, connector, cohort",pilot/prod,Yes + MFA,A3_FOUR_EYES; A4 platform-wide,Required + incident/change,platform.safety_switch_changed
platform.backup.restore_test,Run non-production restore verification,backup_restore,"service, environment",development/staging/dr,Yes,A2_REAUTH_MUTATION,Required,backup.restore_tested
platform.backup.restore_production,Restore or fail over production data/service,backup_restore,"platform, service, region",prod/dr,Yes + MFA,A4_OWNER_SECURITY,Required + incident,backup.production_restore_started
billing.read,"Read plans, entitlements, subscriptions, invoices, and attempts",billing_record,"tenant, digital_store, platform",all,No,A0_READ,No,billing.read
