relative_path,physical_filename,sha256,file_size,file_type,declared_title,declared_filename,declared_version,declared_date,declared_owner,declared_status,duplicate_of,filename_mismatch
docs/source/inbox/KITLUY-UI-UX-BUILD-PACK-INDEX-v1.0.0.md,KITLUY-UI-UX-BUILD-PACK-INDEX-v1.0.0.md,6ff72ece364e58a425e520fe5b0dd018fb4e0e757255662cf46530d0586d6f86,8883,text/markdown,KitLuy UI/UX Build Pack Index,KITLUY-UI-UX-BUILD-PACK-INDEX-v1.0.0.md,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target standard; not implementation evidence,,
docs/source/inbox/PROJECT_HOME.md,PROJECT_HOME.md,66fb10dc4ebf06e18a87554311fb7fc52e0070901bd0a95168cfd1e8236874f9,12023,text/markdown,KitLuy Suite Project Home,PROJECT_HOME.md,,,HET / KitLuy Suite Project Owner,CANONICAL ENTRY POINT,,
docs/source/inbox/README-kitluy-canonical-business-rules-v1.0.0.md,README-kitluy-canonical-business-rules-v1.0.0.md,0a2b8d167c86f306dd2676c3da68b7250b582a497762dcef6ee4b445b988116e,1829,text/markdown,KitLuy Canonical Business Rules and State Machines Package,,1.0.0,,,Canonical target contracts; not implementation evidence,,
docs/source/inbox/README.md,README.md,bd6463c6daa9042200437fcfa5dbe7e1ef422a9f4938bf060900b12720c296d6,707,text/markdown,KitLuy Governed API Specification Pack v1.0.0,,,,,,,
docs/source/inbox/kitluy-accessibility-standard-v1.0.0.md,kitluy-accessibility-standard-v1.0.0.md,3b6b299ceeca6125a3621285c255fbd50d75b8219614032564c6b7bd914a2de0,5916,text/markdown,KitLuy Accessibility Standard,kitluy-accessibility-standard-v1.0.0.md,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target standard; not implementation evidence,,
docs/source/inbox/kitluy-admin-pwa-portal-route-screen-inventory-v1.0.0.md,kitluy-admin-pwa-portal-route-screen-inventory-v1.0.0.md,aeb573109c269c2298961d81d6c9cdb4443701bd164d5efca704f77ba6f74545,120676,text/markdown,KitLuy Admin PWA Portal Route and Screen Inventory,kitluy-admin-pwa-portal-route-screen-inventory-v1.0.0.md,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target route contract; not implementation evidence,,
docs/source/inbox/kitluy-ai-gateway-phase1-spec-v1.0.0.md,kitluy-ai-gateway-phase1-spec-v1.0.0.md,7ec0f6fcae659f07c9e88e60fc4f39f729126ff38b6406ebd997024a3a8771f0,37159,text/markdown,KitLuy AI Gateway — Phase 1 Shared-Service Specification,kitluy-ai-gateway-phase1-spec-v1.0.0.md,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target specification; not implementation evidence,,
docs/source/inbox/kitluy-api-contract-test-registry-v1.0.0.md,kitluy-api-contract-test-registry-v1.0.0.md,2543ad30e9b8c04c1ae95ae0fe5e7bc00dede6b7676d6ce876210e4ee97b7e4b,11054,text/markdown,KitLuy API Contract Test Registry,kitluy-api-contract-test-registry-v1.0.0.md,1.0.0,,,Canonical shared target registry; not implementation evidence,,
docs/source/inbox/kitluy-api-error-code-registry-v1.0.0.md,kitluy-api-error-code-registry-v1.0.0.md,1404cdef79d451d063dbbce82562af75b4a02d948dc928637561b7763a2b4126,13382,text/markdown,KitLuy API Error Code Registry,kitluy-api-error-code-registry-v1.0.0.md,1.0.0,,,Canonical shared target registry; not implementation evidence,,
docs/source/inbox/kitluy-api-scope-registry-v1.0.0.md,kitluy-api-scope-registry-v1.0.0.md,72cf049147f38e211d46375ed5247762ee82601f2c1ba8eeb06b1ecd44d1b1f8,20177,text/markdown,KitLuy API Scope Registry,kitluy-api-scope-registry-v1.0.0.md,1.0.0,,,Canonical shared target registry; not implementation evidence,,
docs/source/inbox/kitluy-api-version-and-deprecation-policy-v1.0.0.md,kitluy-api-version-and-deprecation-policy-v1.0.0.md,310920ac196e82654d82ee1b282cf0b59a6d9d596624f01dcd91a29752d23198,5989,text/markdown,KitLuy API Version and Deprecation Policy,kitluy-api-version-and-deprecation-policy-v1.0.0.md,1.0.0,,,Canonical shared target policy; not implementation evidence,,
docs/source/inbox/kitluy-audit-event-registry-v1.0.0.csv,kitluy-audit-event-registry-v1.0.0.csv,3d806a573bfa50e8df707731172b5716af5b4af7f0958ccc3b0bedef7481c58a,10160,text/csv,,,1.0.0,,,,,
docs/source/inbox/kitluy-audit-event-registry-v1.0.0.md,kitluy-audit-event-registry-v1.0.0.md,dfb516a19026846ea19eb59be74185d95d00a431008bdb3065925117a91d1d7b,23174,text/markdown,KitLuy Audit Event Registry,kitluy-audit-event-registry-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical target contract; not implementation evidence,,
docs/source/inbox/kitluy-authority-and-precedence-v1.0.0.md,kitluy-authority-and-precedence-v1.0.0.md,7442cd604e2ce4b0137988b71a57e01ddca23492ff383a73c2b7ed3694f61567,6884,text/markdown,KitLuy Authority and Precedence Standard,kitluy-authority-and-precedence-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,CANONICAL GOVERNANCE STANDARD,,
docs/source/inbox/kitluy-b2b-website-route-screen-inventory-v1.0.0.md,kitluy-b2b-website-route-screen-inventory-v1.0.0.md,ddc104da18f1c9925fb35e254eb3ae84f81c7e86e39c84ad8f4570b3d51a2b08,54168,text/markdown,KitLuy B2B Website Route and Screen Inventory,kitluy-b2b-website-route-screen-inventory-v1.0.0.md,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target route contract; not implementation evidence,,
docs/source/inbox/kitluy-business-date-shift-and-close-rules-v1.0.0.md,kitluy-business-date-shift-and-close-rules-v1.0.0.md,916e758328fb833daa13e3effdd1501943d6b2aeb03096913998bd6434163bc9,32309,text/markdown,"KitLuy Business Date, Shift and Close Rules",kitluy-business-date-shift-and-close-rules-v1.0.0.md,1.0.0,,,,,
