source_id,original_path,classified_path,physical_filename,declared_filename,document_title,version,document_date,declared_owner,declared_status,sha256,file_size,file_type,authority_class,canonical_status,document_role,product_or_domain,vertical,supersedes,superseded_by,duplicate_of,conflicts_with,implementation_evidence,ingested_at,notes,batch
KLSRC-0001,docs/source/inbox/KITLUY-UI-UX-BUILD-PACK-INDEX-v1.0.0.md,docs/source/ui-ux/KITLUY-UI-UX-BUILD-PACK-INDEX-v1.0.0.md,KITLUY-UI-UX-BUILD-PACK-INDEX-v1.0.0.md,KITLUY-UI-UX-BUILD-PACK-INDEX-v1.0.0.md,KitLuy UI/UX Build Pack Index,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target standard; not implementation evidence,6ff72ece364e58a425e520fe5b0dd018fb4e0e757255662cf46530d0586d6f86,8883,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,PACK-INDEX (UI/UX build pack),ui-ux,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0002,docs/source/inbox/PROJECT_HOME.md,docs/source/canonical/PROJECT_HOME.md,PROJECT_HOME.md,PROJECT_HOME.md,KitLuy Suite Project Home,,,HET / KitLuy Suite Project Owner,CANONICAL ENTRY POINT,66fb10dc4ebf06e18a87554311fb7fc52e0070901bd0a95168cfd1e8236874f9,12023,text/markdown,MASTER-AUTHORITY,CANONICAL-CURRENT,CANONICAL-ENTRY-POINT,suite,,repo PROJECT_HOME.md bootstrap recreation (commit 4a79f66),,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0003,docs/source/inbox/README-kitluy-canonical-business-rules-v1.0.0.md,docs/source/business-rules/README-kitluy-canonical-business-rules-v1.0.0.md,README-kitluy-canonical-business-rules-v1.0.0.md,,KitLuy Canonical Business Rules and State Machines Package,1.0.0,,,Canonical target contracts; not implementation evidence,0a2b8d167c86f306dd2676c3da68b7250b582a497762dcef6ee4b445b988116e,1829,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,PACK-INDEX (Canonical Business Rules Pack),business-rules,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0004,docs/source/inbox/README.md,docs/source/api-contracts/README.md,README.md,,KitLuy Governed API Specification Pack v1.0.0,,,,,bd6463c6daa9042200437fcfa5dbe7e1ef422a9f4938bf060900b12720c296d6,707,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,PACK-INDEX (Governed API Specification Pack),api,,,,,,NONE,2026-07-26T16:00:00+07:00,NAMING COLLISION: security pack manifest.json declares a README.md of 890 bytes; the physical README.md (707 bytes) is the API pack index — the security pack README was lost when packs were flattened into one inbox.,
KLSRC-0005,docs/source/inbox/kitluy-accessibility-standard-v1.0.0.md,docs/source/ui-ux/kitluy-accessibility-standard-v1.0.0.md,kitluy-accessibility-standard-v1.0.0.md,kitluy-accessibility-standard-v1.0.0.md,KitLuy Accessibility Standard,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target standard; not implementation evidence,3b6b299ceeca6125a3621285c255fbd50d75b8219614032564c6b7bd914a2de0,5916,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,UI-UX-STANDARD,ui-ux,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0006,docs/source/inbox/kitluy-admin-pwa-portal-route-screen-inventory-v1.0.0.md,docs/source/ui-ux/kitluy-admin-pwa-portal-route-screen-inventory-v1.0.0.md,kitluy-admin-pwa-portal-route-screen-inventory-v1.0.0.md,kitluy-admin-pwa-portal-route-screen-inventory-v1.0.0.md,KitLuy Admin PWA Portal Route and Screen Inventory,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target route contract; not implementation evidence,aeb573109c269c2298961d81d6c9cdb4443701bd164d5efca704f77ba6f74545,120676,text/markdown,CURRENT-PRODUCT-SPECIFICATION,CANONICAL-CURRENT,ROUTE-SCREEN-INVENTORY,ui-ux,laundry,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0007,docs/source/inbox/kitluy-ai-gateway-phase1-spec-v1.0.0.md,docs/source/shared-services/kitluy-ai-gateway-phase1-spec-v1.0.0.md,kitluy-ai-gateway-phase1-spec-v1.0.0.md,kitluy-ai-gateway-phase1-spec-v1.0.0.md,KitLuy AI Gateway — Phase 1 Shared-Service Specification,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target specification; not implementation evidence,7ec0f6fcae659f07c9e88e60fc4f39f729126ff38b6406ebd997024a3a8771f0,37159,text/markdown,CURRENT-PRODUCT-SPECIFICATION,CANONICAL-CURRENT,SHARED-SERVICE-SPECIFICATION,services,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0008,docs/source/inbox/kitluy-api-contract-test-registry-v1.0.0.md,docs/source/api-contracts/kitluy-api-contract-test-registry-v1.0.0.md,kitluy-api-contract-test-registry-v1.0.0.md,kitluy-api-contract-test-registry-v1.0.0.md,KitLuy API Contract Test Registry,1.0.0,,,Canonical shared target registry; not implementation evidence,2543ad30e9b8c04c1ae95ae0fe5e7bc00dede6b7676d6ce876210e4ee97b7e4b,11054,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,API-GOVERNANCE-REGISTRY,api,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0009,docs/source/inbox/kitluy-api-error-code-registry-v1.0.0.md,docs/source/api-contracts/kitluy-api-error-code-registry-v1.0.0.md,kitluy-api-error-code-registry-v1.0.0.md,kitluy-api-error-code-registry-v1.0.0.md,KitLuy API Error Code Registry,1.0.0,,,Canonical shared target registry; not implementation evidence,1404cdef79d451d063dbbce82562af75b4a02d948dc928637561b7763a2b4126,13382,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,API-GOVERNANCE-REGISTRY,api,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0010,docs/source/inbox/kitluy-api-scope-registry-v1.0.0.md,docs/source/api-contracts/kitluy-api-scope-registry-v1.0.0.md,kitluy-api-scope-registry-v1.0.0.md,kitluy-api-scope-registry-v1.0.0.md,KitLuy API Scope Registry,1.0.0,,,Canonical shared target registry; not implementation evidence,72cf049147f38e211d46375ed5247762ee82601f2c1ba8eeb06b1ecd44d1b1f8,20177,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,API-GOVERNANCE-REGISTRY,api,,,,,,NONE,2026-07-26T16:00:00+07:00,,
